"id";"int_id";"int_lane_id";"status";"last_update"
1;904;"1";0.0;"2019-01-22 16:28:30"
2;904;"2";0.0;"2019-01-22 16:28:30"
3;904;"3";0.0;"2019-01-22 16:28:30"
4;904;"4";0.0;"2019-01-22 16:28:30"
5;904;"5";0.0;"2019-01-22 16:28:30"
6;904;"6";0.0;"2019-01-22 16:28:30"
7;904;"7";0.0;"2019-01-22 16:28:30"
8;904;"8";0.0;"2019-01-22 16:28:30"
9;902;"1";0.0;"2018-12-27 08:08:41"
10;902;"2";0.0;"2018-12-27 08:08:42"
12;902;"4";0.0;"2018-12-27 08:08:42"
13;902;"5";0.0;"2018-12-27 08:08:43"
14;902;"6";0.0;"2018-12-27 08:08:43"
15;902;"7";0.0;"2018-12-27 08:08:43"
16;902;"8";0.0;"2018-12-27 08:08:44"
17;903;"1";0.0;"2018-12-27 08:08:44"
18;903;"2";0.0;"2018-12-27 08:08:44"
19;903;"3";0.0;"2018-12-27 08:08:44"
20;903;"4";0.0;"2018-12-27 08:08:45"
21;903;"5";0.0;"2018-12-27 08:08:45"
22;903;"6";0.0;"2018-12-27 08:08:45"
23;903;"7";0.0;"2018-12-27 08:08:45"
24;903;"8";0.0;"2018-12-27 08:08:46"
